id,age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,product_name,promotion_usage,satisfaction_score
40,28,Female,46720,HighSchool,East,Silver,rare,17595,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,1,6
41,27,Male,41298,Bachelor,West,Gold,rare,12690,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,5
42,29,Female,5513,Bachelor,East,Regular,occasional,1693,Electronics,Apple iPhone 15 Pro,1,5
43,24,Male,13482,Bachelor,West,Regular,rare,4842,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,1,5
44,40,Male,14522,HighSchool,East,Regular,rare,5347,Food,Lay's Potato Chips - Classic Flavor,0,3
45,35,Female,24758,Bachelor,East,Regular,frequent,11293,Books,Atomic Habits - James Clear,0,6
46,25,Male,45527,Bachelor,West,Gold,frequent,16596,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,6
47,28,Male,6755,College,South,Regular,occasional,2394,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,0,6
48,28,Male,45358,College,North,Regular,occasional,16856,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,0,6
49,33,Female,12972,College,East,Silver,rare,5197,Food,Hershey's Milk Chocolate Bar,0,5
50,30,Male,31837,Bachelor,West,Silver,occasional,12967,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,6
51,31,Female,29373,College,South,Regular,frequent,12114,Electronics,Apple iPhone 15 Pro,0,5
52,30,Male,28752,College,North,Silver,rare,8649,Clothing,Levi's Women's 501 Original Fit Jeans,1,4
53,30,Male,8328,HighSchool,West,Silver,rare,3079,Health,Centrum Adults Multivitamin,0,5
54,36,Female,22078,College,East,Regular,occasional,7587,Food,Milka Alpine Milk Chocolate Bar,0,6
55,29,Female,15865,College,West,Regular,occasional,6884,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,4
56,37,Female,6818,College,East,Regular,occasional,1987,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,7
57,23,Male,44939,Masters,East,Gold,occasional,18416,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,1,5
58,33,Male,47716,College,West,Regular,occasional,20515,Electronics,Apple iPhone 15 Pro,0,2
59,31,Female,10315,College,West,Silver,frequent,3895,Food,Hershey's Milk Chocolate Bar,0,3
60,31,Female,13873,HighSchool,West,Regular,rare,5046,Electronics,Google Pixel 8,0,6
61,32,Male,8679,HighSchool,East,Silver,rare,2908,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,4
62,28,Female,23397,HighSchool,North,Regular,occasional,8066,Books,Gone Girl - Gillian Flynn,0,3
63,29,Female,34677,Masters,North,Gold,occasional,13341,Books,Gone Girl - Gillian Flynn,1,6
64,25,Female,19249,HighSchool,West,Silver,rare,6020,Home,Philips Blender,0,5
65,25,Female,7346,College,West,Silver,rare,2301,Food,Cadbury Dairy Milk Chocolate Bar,1,5
66,31,Female,9888,Bachelor,North,Gold,occasional,3708,Electronics,Samsung Galaxy S24,0,4
67,32,Female,33549,College,East,Regular,occasional,12038,Clothing,Nike Sportswear Club T-shirt,1,6
68,30,Male,22871,Bachelor,South,Regular,occasional,8146,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,1,6
69,34,Male,43035,Bachelor,East,Regular,frequent,13002,Books,The 7 Habits of Highly Effective People - Stephen Covey,0,5
70,39,Female,17226,College,West,Silver,occasional,6617,Books,The Girl on the Train - Paula Hawkins,1,4
71,28,Male,40025,College,West,Silver,occasional,8973,Food,Pringles Original Potato Crisps,1,4
72,20,Female,49144,Bachelor,East,Silver,rare,20296,Health,Panadol Extra Tablets,0,3
73,34,Female,17948,College,East,Silver,frequent,5486,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,6
74,27,Male,30376,Masters,West,Regular,rare,10110,Electronics,Apple iPhone 15 Pro,0,5
75,27,Male,31926,HighSchool,North,Silver,occasional,11083,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,1,5
76,35,Female,8133,Masters,East,Regular,rare,2939,Electronics,Apple iPhone 15 Pro,0,5
77,29,Male,12930,HighSchool,South,Silver,frequent,4059,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,3
78,25,Female,13114,Bachelor,West,Silver,rare,2916,Clothing,Nike Sportswear Club T-shirt,0,5
79,31,Female,29452,College,West,Regular,rare,9814,Home,Panasonic Blender,0,5
80,29,Female,32324,Bachelor,North,Regular,occasional,9535,Food,Lay's Potato Chips - Classic Flavor,1,4
81,30,Female,24706,HighSchool,East,Regular,rare,9536,Home,Tefal Blender,1,3
82,32,Male,5778,Bachelor,East,Regular,rare,2236,Health,Centrum Adults Multivitamin,1,5
83,28,Female,12977,HighSchool,South,Regular,rare,3542,Electronics,Google Pixel 8,0,5
84,33,Female,43758,HighSchool,South,Silver,occasional,18843,Clothing,Levi's Women's 501 Original Fit Jeans,0,5
85,29,Female,49741,Masters,West,Regular,occasional,12915,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,0,5
86,31,Male,6994,Bachelor,East,Gold,rare,2101,Clothing,Levi's Women's 501 Original Fit Jeans,0,7
87,35,Female,14104,HighSchool,North,Silver,rare,5398,Electronics,Apple iPhone 15 Pro,1,5
88,32,Male,32621,College,West,Silver,occasional,9408,Health,Efferalgan Tablets,1,4
89,29,Female,40520,College,West,Silver,rare,13186,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,3
90,35,Male,40735,HighSchool,South,Regular,frequent,11223,Electronics,Samsung Galaxy S24,0,3
91,34,Female,19281,College,North,Regular,rare,6960,Food,Cadbury Dairy Milk Chocolate Bar,0,7
92,32,Male,40219,College,East,Regular,rare,11462,Clothing,Nike Sportswear Club T-shirt,0,6
93,31,Female,18963,College,South,Silver,rare,6759,Electronics,Google Pixel 8,1,6
94,27,Female,25836,College,East,Gold,rare,9433,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,6
95,36,Female,6161,Bachelor,West,Regular,occasional,2115,Electronics,Apple iPhone 15 Pro,0,6
96,27,Female,9697,Masters,West,Silver,frequent,2441,Electronics,Google Pixel 8,0,6
97,40,Male,35606,Bachelor,South,Gold,rare,10354,Food,Cadbury Dairy Milk Chocolate Bar,0,6
98,37,Male,6856,Bachelor,South,Silver,occasional,2387,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,6
99,29,Male,5135,Bachelor,East,Regular,rare,1676,Clothing,Levi's Women's 501 Original Fit Jeans,0,4
100,25,Male,6158,College,South,Regular,rare,1728,Clothing,Nike Sportswear Club T-shirt,0,6
101,27,Male,29170,College,North,Silver,occasional,10705,Books,The 7 Habits of Highly Effective People - Stephen Covey,0,7
102,31,Male,34887,College,East,Silver,occasional,15266,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,4
103,29,Female,14391,Bachelor,West,Regular,rare,5272,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,6
104,28,Male,5048,College,East,Regular,rare,1568,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,1,4
105,26,Male,27404,Bachelor,North,Regular,occasional,10044,Health,Blackmores Multivitamin For Adults,1,5
106,30,Male,6752,College,South,Regular,occasional,1984,Health,Panadol Extra Tablets,0,4
107,26,Female,7829,Bachelor,East,Regular,occasional,3001,Books,The 7 Habits of Highly Effective People - Stephen Covey,0,5
108,23,Male,38461,HighSchool,North,Regular,rare,11216,Food,Pringles Original Potato Crisps,0,3
109,28,Male,27443,College,East,Silver,occasional,9438,Books,The Girl on the Train - Paula Hawkins,1,6
110,34,Male,46718,College,North,Regular,rare,15534,Books,The Girl on the Train - Paula Hawkins,0,5
111,27,Male,47622,Bachelor,East,Regular,frequent,18507,Health,Panadol Extra Tablets,0,4
112,33,Male,21874,Bachelor,East,Silver,rare,8568,Books,Atomic Habits - James Clear,0,5
113,23,Male,30137,HighSchool,North,Silver,rare,9744,Books,The Silent Patient - Alex Michaelides,0,5
114,30,Female,14535,HighSchool,East,Regular,rare,4762,Electronics,Google Pixel 8,0,5
115,32,Female,9883,HighSchool,West,Regular,occasional,4289,Books,Gone Girl - Gillian Flynn,0,6
116,31,Female,49578,Bachelor,West,Silver,rare,19903,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,5
117,30,Female,25071,Masters,West,Regular,occasional,9083,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,5
118,27,Female,22192,Bachelor,South,Silver,frequent,10879,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,5
119,26,Male,13379,Bachelor,North,Regular,rare,4327,Books,Gone Girl - Gillian Flynn,0,4
120,25,Female,18915,Bachelor,South,Silver,rare,8860,Books,The Girl on the Train - Paula Hawkins,0,6
121,31,Female,29125,College,South,Regular,frequent,10755,Health,Tylenol Extra Strength Caplets,0,5
122,26,Male,21349,College,North,Silver,frequent,6518,Clothing,Zara Women's Hi-Rise Skinny Jeans,1,5
123,28,Female,36299,HighSchool,East,Silver,frequent,10395,Health,One A Day Men's/Women's Formula,0,5
124,29,Female,6872,College,North,Regular,occasional,1888,Books,The 7 Habits of Highly Effective People - Stephen Covey,1,4
125,38,Female,46609,Bachelor,East,Regular,frequent,20447,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,5
126,27,Female,25134,HighSchool,North,Regular,occasional,7882,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,4
127,31,Male,43862,College,East,Regular,rare,17394,Clothing,Adidas Essentials Logo T-shirt,0,7
128,30,Male,31711,Bachelor,North,Silver,frequent,13669,Home,Philips Blender,0,6
129,26,Female,13509,Masters,North,Regular,rare,3227,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,1,4
130,30,Male,28429,College,North,Regular,occasional,9690,Books,How to Win Friends and Influence People - Dale Carnegie,0,7
131,36,Male,17591,HighSchool,West,Silver,rare,7785,Electronics,Apple iPhone 15 Pro,0,6
132,32,Female,37908,Bachelor,West,Regular,rare,11395,Health,Efferalgan Tablets,1,5
133,30,Female,31044,College,North,Silver,rare,10343,Food,Milka Alpine Milk Chocolate Bar,0,5
134,28,Male,38758,College,South,Silver,rare,13781,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,1,4
135,21,Male,38467,College,East,Regular,frequent,11408,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,4
136,35,Male,22988,Bachelor,East,Regular,occasional,9936,Books,The Girl on the Train - Paula Hawkins,0,6
137,23,Male,26627,Bachelor,East,Regular,frequent,9547,Books,Atomic Habits - James Clear,0,4
138,33,Female,31265,College,East,Regular,rare,10766,Beauty,Cetaphil Gentle Skin Cleanser,0,4
139,39,Female,47194,HighSchool,North,Regular,rare,17373,Beauty,La Roche-Posay Effaclar Purifying Foaming Gel Cleanser,1,6
140,24,Female,42676,College,West,Regular,occasional,15874,Clothing,Nike Sportswear Club T-shirt,0,6
141,33,Male,17214,College,East,Gold,occasional,6098,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,5
142,29,Female,42627,College,South,Regular,rare,13441,Clothing,Nike Sportswear Club T-shirt,0,6
143,23,Male,44764,College,North,Silver,rare,18931,Books,Atomic Habits - James Clear,1,4
144,23,Female,33907,HighSchool,West,Gold,frequent,13086,Health,Blackmores Multivitamin For Adults,1,5
145,23,Female,32419,College,South,Regular,rare,11515,Electronics,Samsung Galaxy S24,0,4
146,28,Male,39265,College,South,Regular,rare,13114,Food,Hershey's Milk Chocolate Bar,0,4
147,23,Male,48577,HighSchool,North,Regular,occasional,19674,Food,Oishi Prawn Crackers - Spicy Flavor,0,7
148,33,Female,32069,College,West,Regular,occasional,12844,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,5
149,39,Female,16736,Masters,East,Regular,frequent,6937,Electronics,Google Pixel 8,0,5
150,24,Male,8854,Bachelor,East,Silver,frequent,3085,Electronics,Apple iPhone 15 Pro,0,4
151,34,Female,26603,College,West,Silver,frequent,10573,Clothing,Nike Sportswear Club T-shirt,0,5
152,33,Male,26110,Masters,North,Regular,occasional,9307,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,6
153,31,Male,11871,HighSchool,North,Gold,frequent,3330,Health,Blackmores Multivitamin For Adults,0,5
154,25,Male,41283,Bachelor,East,Regular,frequent,14639,Electronics,Google Pixel 8,0,4
155,29,Male,31916,Bachelor,South,Regular,rare,10921,Electronics,Sennheiser Momentum 4 Wireless Headphones,1,6
156,29,Male,10545,College,North,Regular,rare,3966,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,4
157,33,Male,34940,College,East,Regular,rare,11283,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,1,7
158,28,Male,43623,HighSchool,East,Regular,rare,16513,Home,Tefal Blender,0,5
159,34,Female,28363,HighSchool,North,Regular,occasional,12462,Home,Panasonic Blender,0,7
160,28,Female,9764,HighSchool,North,Gold,rare,4345,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,1,5
161,35,Female,42574,College,East,Regular,frequent,11767,Health,Efferalgan Tablets,0,3
162,25,Male,26516,HighSchool,West,Gold,rare,7435,Books,The Silent Patient - Alex Michaelides,1,2
163,24,Female,19371,College,South,Silver,occasional,6986,Health,Blackmores Multivitamin For Adults,0,4
164,44,Female,46160,Bachelor,East,Regular,occasional,18143,Books,The Girl on the Train - Paula Hawkins,0,4
165,28,Female,9172,College,East,Gold,rare,2659,Electronics,Google Pixel 8,0,6
166,31,Male,14199,Bachelor,West,Regular,occasional,4785,Food,Pringles Original Potato Crisps,0,5
167,33,Female,41493,College,West,Regular,rare,13142,Beauty,Cerave Hydrating Facial Cleanser,0,6
168,28,Male,44178,Bachelor,East,Regular,occasional,16278,Food,Cadbury Dairy Milk Chocolate Bar,0,6
169,32,Male,41456,HighSchool,East,Gold,occasional,12272,Books,How to Win Friends and Influence People - Dale Carnegie,0,4
170,32,Male,20873,Bachelor,South,Regular,rare,5900,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,5
171,29,Female,41943,Bachelor,North,Gold,rare,13751,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,0,5
172,30,Male,33403,HighSchool,West,Regular,occasional,14141,Books,Atomic Habits - James Clear,1,4
173,30,Male,39944,HighSchool,West,Regular,rare,15514,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,4
174,40,Male,12925,College,North,Regular,frequent,3995,Electronics,Google Pixel 8,0,6
175,27,Female,48053,Bachelor,West,Regular,frequent,12657,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,4
176,25,Male,7156,College,East,Regular,rare,2110,Health,Panadol Extra Tablets,1,4
177,30,Female,48189,HighSchool,East,Silver,occasional,19672,Electronics,Apple iPhone 15 Pro,1,4
178,31,Female,44034,Bachelor,West,Regular,occasional,12097,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,6
179,32,Female,17877,Bachelor,North,Regular,rare,7104,Clothing,Nike Sportswear Club T-shirt,0,5
180,28,Male,37512,Masters,West,Regular,rare,13374,Food,Lay's Potato Chips - Classic Flavor,0,5
181,25,Male,25088,Masters,South,Silver,occasional,9764,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,3
182,36,Female,48792,Bachelor,East,Regular,rare,18203,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,0,6
183,28,Male,9552,HighSchool,North,Silver,rare,3110,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,1,5
184,26,Female,25282,College,North,Regular,rare,6691,Electronics,Apple iPhone 15 Pro,0,6
185,29,Female,28678,Bachelor,East,Regular,rare,10566,Electronics,Samsung Galaxy S24,0,4
186,29,Male,25024,Masters,West,Gold,rare,8423,Books,Gone Girl - Gillian Flynn,0,3
187,35,Male,9157,Bachelor,East,Silver,occasional,3337,Food,Pringles Original Potato Crisps,0,5
188,30,Female,34416,College,West,Gold,rare,10313,Health,Panadol Extra Tablets,0,6
189,33,Female,29355,College,South,Regular,rare,10525,Books,Gone Girl - Gillian Flynn,0,5
190,28,Male,32818,College,East,Gold,occasional,10428,Clothing,Adidas Essentials Logo T-shirt,1,5
191,31,Female,26201,College,South,Silver,occasional,8916,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,4
192,29,Male,24322,College,West,Regular,rare,7561,Electronics,Apple iPhone 15 Pro,0,4
193,30,Female,10651,HighSchool,East,Regular,rare,2841,Electronics,Samsung Galaxy S24,0,3
194,26,Male,11708,College,North,Gold,occasional,3073,Books,How to Win Friends and Influence People - Dale Carnegie,0,5
195,24,Male,30470,Bachelor,West,Gold,frequent,11964,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,1,6
196,39,Female,40055,College,South,Silver,rare,17092,Books,The Silent Patient - Alex Michaelides,1,3
197,33,Female,16139,College,South,Regular,rare,6493,Books,Gone Girl - Gillian Flynn,0,4
198,24,Female,11170,College,North,Silver,rare,4259,Clothing,Uniqlo U Crew Neck Short-Sleeve T-shirt,0,3
199,27,Female,29872,Bachelor,North,Gold,rare,11418,Electronics,Google Pixel 8,1,4
200,25,Female,37258,College,East,Regular,rare,15823,Clothing,Nike Sportswear Club T-shirt,1,4
201,40,Female,25670,Bachelor,West,Silver,rare,11286,Beauty,MAC Studio Fix Fluid SPF 15 Foundation,0,4
202,36,Female,19908,College,East,Regular,occasional,8343,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,6
203,29,Female,12931,HighSchool,East,Silver,occasional,4654,Beauty,La Roche-Posay Effaclar Purifying Foaming Gel Cleanser,1,4
204,32,Male,22524,College,West,Silver,occasional,8609,Books,How to Win Friends and Influence People - Dale Carnegie,0,6
205,28,Male,10825,HighSchool,North,Regular,rare,3600,Clothing,Zara Women's Hi-Rise Skinny Jeans,1,5
206,28,Female,44816,HighSchool,West,Regular,rare,18073,Clothing,Levi's Women's 501 Original Fit Jeans,0,5
207,26,Male,6076,Bachelor,West,Silver,frequent,2311,Clothing,Levi's Women's 501 Original Fit Jeans,0,4
208,27,Male,37784,College,West,Regular,rare,16081,Books,The Girl on the Train - Paula Hawkins,0,6
209,37,Female,34504,College,East,Regular,rare,12032,Electronics,Google Pixel 8,1,7
210,30,Male,31899,College,East,Regular,occasional,9450,Clothing,Adidas Essentials Logo T-shirt,0,5
211,31,Female,29747,Bachelor,West,Regular,occasional,12160,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,2
212,31,Female,47360,Bachelor,East,Gold,rare,13738,Books,Atomic Habits - James Clear,0,6
213,36,Female,10204,HighSchool,East,Regular,frequent,3178,Food,Oishi Prawn Crackers - Spicy Flavor,0,5
214,28,Female,25061,College,West,Silver,rare,8439,Food,Pringles Original Potato Crisps,0,3
215,26,Female,38394,College,South,Regular,occasional,11142,Clothing,Zara Women's Hi-Rise Skinny Jeans,0,3
216,37,Female,23829,Bachelor,West,Silver,occasional,8019,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,0,5
217,28,Male,48586,Masters,North,Regular,occasional,16810,Electronics,Samsung Galaxy S24,1,5
218,27,Female,22675,HighSchool,East,Regular,occasional,7789,Books,The Girl on the Train - Paula Hawkins,0,5
219,24,Female,46062,College,North,Gold,rare,18283,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,5
220,24,Male,32402,College,West,Regular,occasional,11514,Clothing,Zara Women's Hi-Rise Skinny Jeans,1,4
221,27,Male,40775,Bachelor,West,Silver,occasional,15517,Food,Lay's Potato Chips - Classic Flavor,0,5
222,33,Female,28231,HighSchool,North,Silver,rare,8315,Clothing,Adidas Essentials Logo T-shirt,0,4
223,35,Male,17811,Bachelor,South,Regular,rare,5726,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,0,5
224,33,Female,46503,Bachelor,West,Silver,rare,15433,Health,Centrum Adults Multivitamin,1,4
225,28,Male,19546,Bachelor,North,Regular,frequent,8674,Books,The Girl on the Train - Paula Hawkins,1,6
226,30,Male,29669,Bachelor,South,Regular,occasional,8043,Books,The Silent Patient - Alex Michaelides,0,7
227,27,Male,30931,HighSchool,South,Regular,occasional,11448,Clothing,Adidas Essentials Logo T-shirt,0,7
228,27,Male,38353,HighSchool,South,Regular,frequent,12238,Clothing,Nike Sportswear Club T-shirt,1,6
229,34,Male,32273,Bachelor,South,Regular,occasional,12552,Books,The Girl on the Train - Paula Hawkins,1,4
230,25,Male,36185,College,West,Silver,frequent,13074,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,5
231,39,Female,43215,Bachelor,West,Gold,rare,15588,Health,One A Day Men's/Women's Formula,0,5
232,30,Female,40741,Bachelor,East,Regular,frequent,10836,Food,Lay's Potato Chips - Classic Flavor,0,3
233,31,Female,49609,College,South,Regular,occasional,20051,Electronics,Apple iPhone 15 Pro,1,5
234,27,Female,8349,College,East,Silver,rare,2167,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,6
235,27,Female,30281,College,East,Regular,rare,10599,Books,The 7 Habits of Highly Effective People - Stephen Covey,0,5
236,24,Female,10103,Bachelor,East,Regular,rare,2749,Food,Cadbury Dairy Milk Chocolate Bar,1,3
237,29,Male,43970,College,West,Silver,rare,14540,Electronics,Google Pixel 8,0,4
238,32,Female,19535,College,West,Regular,rare,6048,Electronics,Bose QuietComfort 45 Noise Cancelling Headphones,0,5
239,31,Male,27264,Masters,South,Regular,rare,8536,Clothing,Uniqlo Women Ultra Stretch Skinny Fit Jeans,0,5
240,27,Male,6765,HighSchool,West,Regular,rare,2668,Food,Milka Alpine Milk Chocolate Bar,0,4
241,26,Male,11387,College,North,Regular,rare,3473,Electronics,Google Pixel 8,0,6
242,28,Female,21174,Bachelor,East,Silver,rare,6930,Food,Oishi Prawn Crackers - Spicy Flavor,0,5
243,37,Male,24253,Bachelor,North,Regular,occasional,12194,Health,Tylenol Extra Strength Caplets,0,4
244,25,Female,24190,Bachelor,West,Regular,occasional,9663,Electronics,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,0,6
245,29,Male,18220,College,North,Regular,rare,6657,Health,Centrum Adults Multivitamin,0,6
246,39,Female,40676,HighSchool,North,Regular,rare,13107,Beauty,Maybelline Fit Me Matte + Poreless Foundation,1,5
247,30,Male,13717,Bachelor,West,Regular,rare,5133,Electronics,Apple iPhone 15 Pro,0,6
248,24,Male,18666,HighSchool,East,Regular,occasional,6429,Clothing,Nike Sportswear Club T-shirt,1,6
249,27,Male,21257,Bachelor,North,Regular,rare,8260,Electronics,Apple iPhone 15 Pro,1,6
250,32,Male,10956,College,East,Regular,rare,4354,Electronics,Sennheiser Momentum 4 Wireless Headphones,0,3
251,28,Male,26777,Masters,South,Silver,rare,10562,Electronics,Apple iPhone 15 Pro,0,3
252,27,Female,49369,Bachelor,South,Regular,occasional,20269,Food,Oishi Prawn Crackers - Spicy Flavor,0,3
253,28,Male,33724,Masters,South,Regular,frequent,12105,Books,The 7 Habits of Highly Effective People - Stephen Covey,0,4
254,30,Male,39742,HighSchool,North,Silver,frequent,15486,Books,Atomic Habits - James Clear,1,4
255,37,Female,29977,Bachelor,East,Regular,occasional,10274,Health,One A Day Men's/Women's Formula,1,5
256,30,Male,14996,Bachelor,West,Silver,frequent,4868,Clothing,Nike Sportswear Club T-shirt,0,6
257,35,Male,8397,HighSchool,North,Regular,rare,2623,Clothing,Adidas Essentials Logo T-shirt,0,6
258,33,Female,25532,Bachelor,South,Silver,occasional,9754,Books,The Girl on the Train - Paula Hawkins,0,5
